session,subjid,agent,costCond,visibilityCond,resourceCond,counterbalance,ownBPsize,points,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,partnerHelped,partnerHelpingEvents,partnerHelpfulSteps
4ISIiFA1J99JSc,4ISIiFA1J99JScpurple,purple,high,full,even,12.0,4,1376,434.5,64.5,864.0,129.0,14,450,76,True,True,15,70
4ISIiFA1J99JSc,4ISIiFA1J99JScred,red,high,full,even,12.0,4,1272,448.0,70.0,896.0,140.0,15,443,70,True,True,14,76
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,purple,high,self,uneven,6.0,5,1247,444.0,145.0,883.0,290.0,32,458,146,True,True,26,134
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,red,high,self,uneven,6.0,3,932,489.0,109.0,978.0,218.0,26,512,134,True,True,32,146
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,purple,low,self,uneven,14.0,3,2462,634.0,0.0,634.0,0.0,0,598,0,False,False,0,0
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,red,low,self,uneven,14.0,5,3276,498.0,0.0,498.0,0.0,0,446,0,False,False,0,0
4zprMdo2BmCToc,4zprMdo2BmCTocpurple,purple,low,full,uneven,9.0,3,2874,544.0,86.0,544.0,86.0,19,497,86,True,True,26,90
4zprMdo2BmCToc,4zprMdo2BmCTocred,red,low,full,uneven,9.0,5,3454,464.0,90.0,464.0,90.0,26,425,90,True,True,19,86
69qumWi30zt8LB,69qumWi30zt8LBpurple,purple,high,self,uneven,9.0,3,330,551.0,0.0,1080.0,0.0,0,569,0,False,True,1,13
69qumWi30zt8LB,69qumWi30zt8LBred,red,high,self,uneven,9.0,5,1121,481.0,13.0,927.0,26.0,1,451,13,True,False,0,0
69w4WM83iWOtRA,69w4WM83iWOtRApurple,purple,low,full,even,15.0,4,2949,565.0,0.0,565.0,0.0,0,499,0,False,False,0,0
69w4WM83iWOtRA,69w4WM83iWOtRAred,red,low,full,even,15.0,4,3108,539.0,0.0,539.0,0.0,0,476,0,False,False,0,0
8lJhZWe3AcL1vB,8lJhZWe3AcL1vBpurple,purple,low,full,even,2.0,4,3226,501.0,17.0,501.0,17.0,2,467,17,True,True,2,17
8lJhZWe3AcL1vB,8lJhZWe3AcL1vBred,red,low,full,even,2.0,4,3183,521.0,17.0,521.0,17.0,2,493,17,True,True,2,17
8vpplWa1LA4tuJ,8vpplWa1LA4tuJpurple,purple,low,self,uneven,11.0,3,2404,626.0,0.0,626.0,0.0,0,548,0,False,True,6,41
8vpplWa1LA4tuJ,8vpplWa1LA4tuJred,red,low,self,uneven,11.0,5,3030,539.0,41.0,539.0,41.0,6,495,41,True,False,0,0
9L0u3N594S7Tk5,9L0u3N594S7Tk5purple,purple,high,self,even,6.0,4,827,500.0,0.0,975.0,0.0,0,486,0,False,True,1,2
9L0u3N594S7Tk5,9L0u3N594S7Tk5red,red,high,self,even,6.0,4,759,504.0,2.0,993.0,4.0,1,524,2,True,False,0,0
9Ww7oIT2IOq2Z2,9Ww7oIT2IOq2Z2purple,purple,low,full,even,4.0,4,2844,570.0,82.0,570.0,82.0,18,529,80,True,True,16,68
9Ww7oIT2IOq2Z2,9Ww7oIT2IOq2Z2red,red,low,full,even,4.0,4,3202,511.0,68.0,511.0,68.0,16,448,68,True,True,18,80
A9f87dW16vP5cI,A9f87dW16vP5cIpurple,purple,high,self,even,1.0,4,1260,447.0,71.0,894.0,142.0,15,466,71,True,True,17,117
A9f87dW16vP5cI,A9f87dW16vP5cIred,red,high,self,even,1.0,4,1137,466.0,92.0,927.0,184.0,17,506,117,True,True,15,71
AGOdVu74gfVMP7,AGOdVu74gfVMP7purple,purple,low,full,even,12.0,4,2932,552.0,135.0,552.0,135.0,27,526,135,True,True,24,126
AGOdVu74gfVMP7,AGOdVu74gfVMP7red,red,low,full,even,12.0,4,2675,611.0,126.0,611.0,126.0,24,528,126,True,True,27,135
At5uLcV1gpuWFx,At5uLcV1gpuWFxpurple,purple,high,self,even,9.0,4,1184,455.0,53.0,900.0,106.0,13,462,53,True,True,14,62
At5uLcV1gpuWFx,At5uLcV1gpuWFxred,red,high,self,even,9.0,4,1168,459.5,62.0,904.0,124.0,14,445,62,True,True,13,53
AzuOzsa7YRyHF2,AzuOzsa7YRyHF2purple,purple,low,self,uneven,13.0,3,1811,711.0,46.0,711.0,46.0,9,707,46,True,True,1,10
AzuOzsa7YRyHF2,AzuOzsa7YRyHF2red,red,low,self,uneven,13.0,5,2890,572.0,10.0,572.0,10.0,1,424,10,True,True,9,46
Bj5ET9K9eXGWRE,Bj5ET9K9eXGWREpurple,purple,high,full,uneven,0.0,5,1239,455.0,0.0,895.0,0.0,0,486,0,False,False,0,0
Bj5ET9K9eXGWRE,Bj5ET9K9eXGWREred,red,high,full,uneven,0.0,3,365,547.0,0.0,1089.0,0.0,0,623,0,False,False,0,0
CMHilxYAIrvn3c,CMHilxYAIrvn3cpurple,purple,low,self,uneven,14.0,3,2539,618.0,9.0,618.0,9.0,2,511,9,True,True,9,58
CMHilxYAIrvn3c,CMHilxYAIrvn3cred,red,low,self,uneven,14.0,5,2871,570.0,58.0,570.0,58.0,9,507,58,True,True,2,9
Ca0LA3R5gMWqRO,Ca0LA3R5gMWqROpurple,purple,high,full,uneven,2.0,5,1132,484.5,35.0,934.0,70.0,8,490,39,True,True,7,30
Ca0LA3R5gMWqRO,Ca0LA3R5gMWqROred,red,high,full,uneven,2.0,3,478,551.5,29.0,1068.0,58.0,7,610,30,True,True,8,39
DJyWGrmCI4hedo,DJyWGrmCI4hedopurple,purple,high,full,even,1.0,4,701,528.0,6.0,1021.0,12.0,1,489,6,True,False,0,0
DJyWGrmCI4hedo,DJyWGrmCI4hedored,red,high,full,even,1.0,4,894,506.5,0.0,978.0,0.0,0,504,0,False,True,1,6
DlLaVuEDRhESNS,DlLaVuEDRhESNSpurple,purple,low,self,even,0.0,4,2768,569.0,0.0,569.0,0.0,0,502,0,False,False,0,0
DlLaVuEDRhESNS,DlLaVuEDRhESNSred,red,low,self,even,0.0,4,2697,596.0,0.0,596.0,0.0,0,519,0,False,False,0,0
DmpVBEJ1KtUGx2,DmpVBEJ1KtUGx2purple,purple,high,self,even,8.0,4,1290,479.0,0.0,888.0,0.0,0,410,0,False,True,8,58
DmpVBEJ1KtUGx2,DmpVBEJ1KtUGx2red,red,high,self,even,8.0,4,612,529.0,18.0,1048.0,36.0,8,618,58,True,False,0,0
DnYnqep04VmuqX,DnYnqep04VmuqXpurple,purple,high,full,uneven,10.0,3,669,522.0,52.0,1019.0,104.0,9,561,57,True,True,14,46
DnYnqep04VmuqX,DnYnqep04VmuqXred,red,high,full,uneven,10.0,5,1102,474.5,44.5,944.0,89.0,14,503,46,True,True,9,57
E7ZN4PY4zC1bwd,E7ZN4PY4zC1bwdpurple,purple,low,self,uneven,6.0,5,2707,593.0,42.0,593.0,42.0,6,516,42,True,True,2,17
E7ZN4PY4zC1bwd,E7ZN4PY4zC1bwdred,red,low,self,uneven,6.0,3,2200,687.0,17.0,687.0,17.0,2,569,17,True,True,6,42
FfdgbZ2FZY2c8P,FfdgbZ2FZY2c8Ppurple,purple,high,full,even,1.0,4,896,490.0,24.0,960.0,48.0,5,486,24,True,True,5,24
FfdgbZ2FZY2c8P,FfdgbZ2FZY2c8Pred,red,high,full,even,1.0,4,879,491.5,24.0,963.0,48.0,5,470,24,True,True,5,24
G9PSkay14LWhVo,G9PSkay14LWhVopurple,purple,low,full,even,12.0,4,3478,444.0,75.0,444.0,75.0,18,416,75,True,True,18,94
G9PSkay14LWhVo,G9PSkay14LWhVored,red,low,full,even,12.0,4,3024,530.0,95.0,530.0,95.0,18,494,94,True,True,18,75
GIpt06E7scyQAs,GIpt06E7scyQAspurple,purple,low,full,uneven,0.0,5,3523,437.0,87.0,437.0,87.0,23,424,87,True,True,15,65
GIpt06E7scyQAs,GIpt06E7scyQAsred,red,low,full,uneven,0.0,3,3242,517.0,65.0,517.0,65.0,15,454,65,True,True,23,87
GaoxGQc1Xmby2b,GaoxGQc1Xmby2bpurple,purple,high,full,uneven,1.0,3,1325,465.0,6.0,869.0,12.0,2,408,6,True,True,17,78
GaoxGQc1Xmby2b,GaoxGQc1Xmby2bred,red,high,full,uneven,1.0,5,1054,475.0,71.0,950.0,142.0,17,514,78,True,True,2,6
GulhkpA1gdCtoQ,GulhkpA1gdCtoQpurple,purple,low,full,even,9.0,4,2956,555.0,0.0,555.0,0.0,0,492,0,False,False,0,0
GulhkpA1gdCtoQ,GulhkpA1gdCtoQred,red,low,full,even,9.0,4,2550,627.0,0.0,627.0,0.0,0,518,0,False,False,0,0
Guo72GsAyCT2Pp,Guo72GsAyCT2Pppurple,purple,low,full,even,2.0,4,3249,506.0,8.0,506.0,8.0,2,469,8,True,True,3,20
Guo72GsAyCT2Pp,Guo72GsAyCT2Ppred,red,low,full,even,2.0,4,3164,535.0,20.0,535.0,20.0,3,482,20,True,True,2,8
HJiQI8l8ixj7ZQ,HJiQI8l8ixj7ZQpurple,purple,low,full,even,2.0,4,2970,558.0,11.0,558.0,11.0,1,494,11,True,True,1,7
HJiQI8l8ixj7ZQ,HJiQI8l8ixj7ZQred,red,low,full,even,2.0,4,2910,590.0,9.0,590.0,9.0,1,509,7,True,True,1,11
J6HDr7j8Eerd86,J6HDr7j8Eerd86purple,purple,high,self,even,6.0,4,770,503.5,102.0,1002.0,204.0,20,557,114,True,True,15,70
J6HDr7j8Eerd86,J6HDr7j8Eerd86red,red,high,self,even,6.0,4,1347,454.0,64.0,877.0,128.0,15,431,70,True,True,20,114
JTrMDviJOqSWLm,JTrMDviJOqSWLmpurple,purple,low,self,uneven,10.0,5,2611,624.0,12.0,624.0,12.0,2,543,12,True,True,1,6
JTrMDviJOqSWLm,JTrMDviJOqSWLmred,red,low,self,uneven,10.0,3,2307,697.0,6.0,697.0,6.0,1,577,6,True,True,2,12
JZ7WmKj6jM1mPr,JZ7WmKj6jM1mPrpurple,purple,high,self,uneven,6.0,5,953,481.0,22.0,957.0,44.0,2,512,22,True,True,3,24
JZ7WmKj6jM1mPr,JZ7WmKj6jM1mPrred,red,high,self,uneven,6.0,3,298,567.0,19.5,1119.0,39.0,3,622,24,True,True,2,22
L2xJ1iWAIp1Lc5,L2xJ1iWAIp1Lc5purple,purple,high,full,even,10.0,4,778,498.0,0.0,986.0,0.0,0,505,0,False,False,0,0
L2xJ1iWAIp1Lc5,L2xJ1iWAIp1Lc5red,red,high,full,even,10.0,4,683,514.0,0.0,1013.0,0.0,0,520,0,False,False,0,0
L4j2g1iErZ4AOn,L4j2g1iErZ4AOnpurple,purple,low,self,uneven,8.0,3,3065,545.0,38.0,545.0,38.0,9,474,38,True,True,18,79
L4j2g1iErZ4AOn,L4j2g1iErZ4AOnred,red,low,self,uneven,8.0,5,3191,515.0,79.0,515.0,79.0,18,496,79,True,True,9,38
L8ega4xIVuXXw0,L8ega4xIVuXXw0purple,purple,high,full,even,14.0,4,1134,460.0,13.0,910.0,26.0,5,482,19,True,True,4,25
L8ega4xIVuXXw0,L8ega4xIVuXXw0red,red,high,full,even,14.0,4,1064,492.5,25.0,938.0,50.0,4,515,25,True,True,5,19
LAQLsLbGhKb4RP,LAQLsLbGhKb4RPpurple,purple,high,self,even,1.0,4,799,504.0,7.0,983.0,14.0,3,480,7,True,True,3,19
LAQLsLbGhKb4RP,LAQLsLbGhKb4RPred,red,high,self,even,1.0,4,880,494.5,12.0,964.0,24.0,3,474,19,True,True,3,7
LEfPEyA1vi7QKF,LEfPEyA1vi7QKFpurple,purple,low,self,even,8.0,4,3459,469.0,31.0,469.0,31.0,6,442,31,True,True,6,41
LEfPEyA1vi7QKF,LEfPEyA1vi7QKFred,red,low,self,even,8.0,4,3257,501.0,41.0,501.0,41.0,6,466,41,True,True,6,31
LLlh0LYAxsUnae,LLlh0LYAxsUnaepurple,purple,low,self,even,5.0,4,3188,515.0,55.0,515.0,55.0,10,475,55,True,True,10,58
LLlh0LYAxsUnae,LLlh0LYAxsUnaered,red,low,self,even,5.0,4,3120,532.0,58.0,532.0,58.0,10,483,58,True,True,10,55
LXqE9AMI4dF71I,LXqE9AMI4dF71Ipurple,purple,high,self,even,13.0,4,940,512.0,0.0,955.0,0.0,0,472,0,False,True,1,8
LXqE9AMI4dF71I,LXqE9AMI4dF71Ired,red,high,self,even,13.0,4,600,538.5,8.0,1042.0,16.0,1,556,8,True,False,0,0
LzSp6319Cfrr4o,LzSp6319Cfrr4opurple,purple,high,self,uneven,12.0,3,1061,491.5,11.0,930.0,22.0,3,468,21,True,True,19,103
LzSp6319Cfrr4o,LzSp6319Cfrr4ored,red,high,self,uneven,12.0,5,1064,477.5,94.0,950.0,188.0,19,552,103,True,True,3,21
M8dSL0S7sLftMi,M8dSL0S7sLftMipurple,purple,high,full,even,14.0,4,1118,485.5,30.0,931.0,60.0,3,481,30,True,True,5,30
M8dSL0S7sLftMi,M8dSL0S7sLftMired,red,high,full,even,14.0,4,1202,459.0,30.0,914.0,60.0,5,525,30,True,True,3,30
MnUx0OULOzy46v,MnUx0OULOzy46vpurple,purple,high,self,even,11.0,4,697,541.0,35.0,1019.0,70.0,3,549,35,True,True,2,16
MnUx0OULOzy46v,MnUx0OULOzy46vred,red,high,self,even,11.0,4,792,541.5,12.0,987.0,24.0,2,515,16,True,True,3,35
MsW5djQKZ3G3b8,MsW5djQKZ3G3b8purple,purple,low,self,even,15.0,4,2959,561.0,0.0,561.0,0.0,0,498,0,False,False,0,0
MsW5djQKZ3G3b8,MsW5djQKZ3G3b8red,red,low,self,even,15.0,4,3118,535.0,0.0,535.0,0.0,0,478,0,False,False,0,0
MuoarHWH8NJvH4,MuoarHWH8NJvH4purple,purple,low,full,even,3.0,4,3281,497.0,9.0,497.0,9.0,2,446,9,True,True,3,22
MuoarHWH8NJvH4,MuoarHWH8NJvH4red,red,low,full,even,3.0,4,2982,546.0,22.0,546.0,22.0,3,488,22,True,True,2,9
N8ksNmv6G4q0om,N8ksNmv6G4q0ompurple,purple,low,self,even,0.0,4,2888,558.0,0.0,558.0,0.0,0,506,0,False,False,0,0
N8ksNmv6G4q0om,N8ksNmv6G4q0omred,red,low,self,even,0.0,4,3058,542.0,0.0,542.0,0.0,0,486,0,False,False,0,0
NDCsX0J5xy0hPl,NDCsX0J5xy0hPlpurple,purple,low,self,even,2.0,4,3160,523.0,29.0,523.0,29.0,5,477,29,True,True,4,25
NDCsX0J5xy0hPl,NDCsX0J5xy0hPlred,red,low,self,even,2.0,4,3241,508.0,25.0,508.0,25.0,4,469,25,True,True,5,29
OBuLvcr2bLTJ9X,OBuLvcr2bLTJ9Xpurple,purple,high,self,uneven,3.0,5,1203,468.0,35.0,911.0,70.0,8,496,35,True,True,3,14
OBuLvcr2bLTJ9X,OBuLvcr2bLTJ9Xred,red,high,self,uneven,3.0,3,772,514.0,14.0,998.0,28.0,3,561,14,True,True,8,35
ODyDBwJIrDmnma,ODyDBwJIrDmnmapurple,purple,high,self,uneven,12.0,3,471,579.5,23.0,1069.0,46.0,2,683,23,True,True,6,34
ODyDBwJIrDmnma,ODyDBwJIrDmnmared,red,high,self,uneven,12.0,5,748,561.5,29.0,1025.0,58.0,6,510,34,True,True,2,23
OGnbKD3L1ui9Xx,OGnbKD3L1ui9Xxpurple,purple,low,self,even,11.0,4,3277,499.0,38.0,499.0,38.0,7,457,38,True,True,8,39
OGnbKD3L1ui9Xx,OGnbKD3L1ui9Xxred,red,low,self,even,11.0,4,3337,496.0,39.0,496.0,39.0,8,449,39,True,True,7,38
OmOv7snAvQ1k6l,OmOv7snAvQ1k6lpurple,purple,high,full,uneven,12.0,3,396,540.0,1.0,1080.0,2.0,1,592,1,True,False,0,0
OmOv7snAvQ1k6l,OmOv7snAvQ1k6lred,red,high,full,uneven,12.0,5,1283,452.0,0.0,884.0,0.0,0,450,0,False,True,1,1
OmgEQJhArEcn1g,OmgEQJhArEcn1gpurple,purple,high,full,even,5.0,4,1111,463.0,27.0,916.0,54.0,6,469,27,True,True,7,39
OmgEQJhArEcn1g,OmgEQJhArEcn1gred,red,high,full,even,5.0,4,1031,470.0,39.0,935.0,78.0,7,488,39,True,True,6,27
P1QGEaN1plCNcG,P1QGEaN1plCNcGpurple,purple,low,self,even,14.0,4,3165,494.0,37.0,494.0,37.0,8,395,37,True,True,15,81
P1QGEaN1plCNcG,P1QGEaN1plCNcGred,red,low,self,even,14.0,4,2720,584.0,81.0,584.0,81.0,15,541,81,True,True,8,37
PUc4EleMaTGBw1,PUc4EleMaTGBw1purple,purple,high,full,uneven,12.0,3,387,549.5,0.0,1084.0,0.0,0,640,0,False,True,1,9
PUc4EleMaTGBw1,PUc4EleMaTGBw1red,red,high,full,uneven,12.0,5,1111,475.5,9.0,936.0,18.0,1,487,9,True,False,0,0
Q3FSUc25MP9a9i,Q3FSUc25MP9a9ipurple,purple,high,full,uneven,4.0,5,1031,508.5,0.0,947.0,0.0,1,521,9,True,True,1,14
Q3FSUc25MP9a9i,Q3FSUc25MP9a9ired,red,high,full,uneven,4.0,3,318,574.0,0.0,1103.0,0.0,1,756,14,True,True,1,9
QDWga5kEF5PDb8,QDWga5kEF5PDb8purple,purple,low,self,even,12.0,4,2707,599.0,4.0,599.0,4.0,3,514,4,True,True,1,11
QDWga5kEF5PDb8,QDWga5kEF5PDb8red,red,low,self,even,12.0,4,2707,588.0,11.0,588.0,11.0,1,492,11,True,True,3,4
QaoRhZIMQgl3IQ,QaoRhZIMQgl3IQpurple,purple,high,full,uneven,4.0,5,1055,498.0,11.0,941.0,22.0,1,507,11,True,True,2,26
QaoRhZIMQgl3IQ,QaoRhZIMQgl3IQred,red,high,full,uneven,4.0,3,381,545.0,12.0,1085.0,24.0,2,663,26,True,True,1,11
R2Slnye8Cyp1Qc,R2Slnye8Cyp1Qcpurple,purple,low,self,even,4.0,4,3185,524.0,6.0,524.0,6.0,1,478,6,True,True,1,12
R2Slnye8Cyp1Qc,R2Slnye8Cyp1Qcred,red,low,self,even,4.0,4,3088,535.0,12.0,535.0,12.0,1,498,12,True,True,1,6
ROhhh8jD6nNnDB,ROhhh8jD6nNnDBpurple,purple,low,self,uneven,8.0,3,3219,513.0,62.0,513.0,62.0,13,448,62,True,True,23,64
ROhhh8jD6nNnDB,ROhhh8jD6nNnDBred,red,low,self,uneven,8.0,5,3386,475.0,64.0,475.0,64.0,23,452,64,True,True,13,62
RV6SiTvJDsGKG9,RV6SiTvJDsGKG9purple,purple,high,self,even,1.0,4,1126,475.0,0.0,920.0,0.0,0,503,0,False,True,2,15
RV6SiTvJDsGKG9,RV6SiTvJDsGKG9red,red,high,self,even,1.0,4,620,526.0,15.0,1042.0,30.0,2,550,15,True,False,0,0
RophlMz2pnT4Tj,RophlMz2pnT4Tjpurple,purple,high,self,even,15.0,4,1112,475.5,13.0,926.0,26.0,2,465,13,True,True,2,13
RophlMz2pnT4Tj,RophlMz2pnT4Tjred,red,high,self,even,15.0,4,830,511.0,13.0,997.0,26.0,2,495,13,True,True,2,13
SMBqTPtMeJmnqR,SMBqTPtMeJmnqRpurple,purple,high,full,even,11.0,4,817,505.5,0.0,981.0,0.0,0,506,0,False,False,0,0
SMBqTPtMeJmnqR,SMBqTPtMeJmnqRred,red,high,full,even,11.0,4,796,524.0,0.0,984.0,0.0,0,500,0,False,False,0,0
SjLhgef8nbj9y0,SjLhgef8nbj9y0purple,purple,high,full,uneven,7.0,5,1246,446.5,98.0,888.0,196.0,24,460,102,True,True,15,57
SjLhgef8nbj9y0,SjLhgef8nbj9y0red,red,high,full,uneven,7.0,3,1231,453.0,47.0,891.0,94.0,15,456,57,True,True,24,102
Sk5lsLH6JKqClz,Sk5lsLH6JKqClzpurple,purple,low,full,even,2.0,4,2806,588.0,16.0,588.0,16.0,2,528,16,True,True,2,18
Sk5lsLH6JKqClz,Sk5lsLH6JKqClzred,red,low,full,even,2.0,4,2849,582.0,18.0,582.0,18.0,2,517,18,True,True,2,16
TADTf6vSlFIWUj,TADTf6vSlFIWUjpurple,purple,low,full,even,11.0,4,3104,497.0,18.0,497.0,18.0,5,470,18,True,True,6,32
TADTf6vSlFIWUj,TADTf6vSlFIWUjred,red,low,full,even,11.0,4,2790,583.0,32.0,583.0,32.0,6,535,32,True,True,5,18
TivIAtz1sWuRop,TivIAtz1sWuRoppurple,purple,high,full,uneven,4.0,5,1056,507.0,0.0,942.0,0.0,1,479,9,True,False,0,0
TivIAtz1sWuRop,TivIAtz1sWuRopred,red,high,full,uneven,4.0,3,309,591.5,0.0,1101.0,0.0,0,633,0,False,True,1,9
TvRvNKnRPmhY4z,TvRvNKnRPmhY4zpurple,purple,low,full,even,14.0,4,2850,557.0,29.0,557.0,29.0,4,522,29,True,True,2,2
TvRvNKnRPmhY4z,TvRvNKnRPmhY4zred,red,low,full,even,14.0,4,3385,481.0,2.0,481.0,2.0,2,424,2,True,True,4,29
UKP62V6OXpmahx,UKP62V6OXpmahxpurple,purple,low,self,even,12.0,4,3211,484.0,78.0,484.0,78.0,17,448,78,True,True,18,106
UKP62V6OXpmahx,UKP62V6OXpmahxred,red,low,self,even,12.0,4,3119,519.0,106.0,519.0,106.0,18,477,106,True,True,17,78
UNqFOhcB79Jntp,UNqFOhcB79Jntppurple,purple,low,full,even,5.0,4,3377,481.0,84.0,481.0,84.0,17,441,84,True,True,17,87
UNqFOhcB79Jntp,UNqFOhcB79Jntpred,red,low,full,even,5.0,4,3267,499.0,85.0,499.0,85.0,17,463,87,True,True,17,84
US5bIYNPktMeE8,US5bIYNPktMeE8purple,purple,low,self,even,3.0,4,3191,509.0,0.0,509.0,0.0,0,464,0,False,True,2,20
US5bIYNPktMeE8,US5bIYNPktMeE8red,red,low,self,even,3.0,4,2861,573.0,20.0,573.0,20.0,2,534,20,True,False,0,0
Ujdl2K6GeflUWs,Ujdl2K6GeflUWspurple,purple,high,full,uneven,2.0,5,580,547.5,61.0,1064.0,122.0,16,643,77,True,True,2,12
Ujdl2K6GeflUWs,Ujdl2K6GeflUWsred,red,high,full,uneven,2.0,3,1115,504.5,6.0,920.0,12.0,2,456,12,True,True,16,77
UnhhiQvINPhklV,UnhhiQvINPhklVpurple,purple,low,full,uneven,6.0,5,2741,572.0,0.0,572.0,0.0,0,482,0,False,False,0,0
UnhhiQvINPhklV,UnhhiQvINPhklVred,red,low,full,uneven,6.0,3,2181,707.0,0.0,707.0,0.0,0,621,0,False,False,0,0
Uyet9JuJtlLzZb,Uyet9JuJtlLzZbpurple,purple,low,self,even,6.0,4,3070,528.0,17.0,528.0,17.0,4,479,17,True,True,5,18
Uyet9JuJtlLzZb,Uyet9JuJtlLzZbred,red,low,self,even,6.0,4,3174,526.0,18.0,526.0,18.0,5,476,18,True,True,4,17
V1ZNTsuOwNNanU,V1ZNTsuOwNNanUpurple,purple,high,full,uneven,1.0,5,930,495.0,2.0,959.0,4.0,2,487,3,True,True,1,8
V1ZNTsuOwNNanU,V1ZNTsuOwNNanUred,red,high,full,uneven,1.0,3,487,551.0,8.0,1062.0,16.0,1,579,8,True,True,2,3
VNfL7CS9kqaA96,VNfL7CS9kqaA96purple,purple,high,self,even,10.0,4,1176,462.5,10.0,910.0,20.0,2,481,23,True,True,2,22
VNfL7CS9kqaA96,VNfL7CS9kqaA96red,red,high,self,even,10.0,4,990,482.0,22.0,949.0,44.0,2,493,22,True,True,2,23
VVQ14G1K25VOFw,VVQ14G1K25VOFwpurple,purple,low,self,uneven,9.0,3,2515,634.0,0.0,634.0,0.0,0,586,0,False,True,1,9
VVQ14G1K25VOFw,VVQ14G1K25VOFwred,red,low,self,uneven,9.0,5,3050,544.0,11.0,544.0,11.0,1,485,9,True,False,0,0
VdA2R2IUgWwoE0,VdA2R2IUgWwoE0purple,purple,high,full,uneven,11.0,3,808,550.0,9.0,984.0,18.0,3,521,9,True,True,8,59
VdA2R2IUgWwoE0,VdA2R2IUgWwoE0red,red,high,full,uneven,11.0,5,828,546.5,41.0,1007.0,82.0,8,526,59,True,True,3,9
WDQco1ZEzMk9t4,WDQco1ZEzMk9t4purple,purple,high,self,uneven,5.0,5,1230,446.0,75.0,892.0,150.0,23,459,75,True,True,13,51
WDQco1ZEzMk9t4,WDQco1ZEzMk9t4red,red,high,self,uneven,5.0,3,1016,498.0,47.0,946.0,94.0,13,455,51,True,True,23,75
WS4jHMiQ5Wvznv,WS4jHMiQ5Wvznvpurple,purple,low,self,even,14.0,4,2917,552.0,0.0,552.0,0.0,0,514,0,False,True,2,18
